epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,138.839,0.83894,0.76451,0.93143,0.86988,0.8545,0.90523,0.73325,0.77751,0.86864,0.92423,0.00048651,0.00048651,0.00048651
43,142.139,0.83853,0.79312,0.94269,0.8683,0.88969,0.90648,0.72869,0.77081,0.77012,0.92236,0.000482108,0.000482108,0.000482108
44,145.365,0.84772,0.77118,0.93891,0.90295,0.83476,0.90378,0.7331,0.76293,0.72682,0.91985,0.000477705,0.000477705,0.000477705
45,148.614,0.83671,0.75744,0.93435,0.89371,0.85643,0.90357,0.71668,0.79301,0.70471,0.93278,0.000473303,0.000473303,0.000473303
46,151.874,0.81192,0.75854,0.9276,0.90838,0.85476,0.91268,0.73057,0.76757,0.69225,0.92889,0.000468901,0.000468901,0.000468901
47,155.136,0.81257,0.76404,0.92413,0.87186,0.85325,0.9125,0.72755,0.7675,0.74629,0.92796,0.000464499,0.000464499,0.000464499
48,158.434,0.80472,0.75016,0.92497,0.86215,0.88506,0.91013,0.72877,0.76637,0.72483,0.92397,0.000460097,0.000460097,0.000460097
49,161.669,0.78688,0.72067,0.91563,0.87619,0.88353,0.91315,0.73912,0.74268,0.70869,0.91809,0.000455694,0.000455694,0.000455694
50,165.017,0.80854,0.73832,0.92809,0.88304,0.87375,0.9134,0.73882,0.74377,0.70807,0.91462,0.000451292,0.000451292,0.000451292
51,168.275,0.81704,0.73731,0.92491,0.89507,0.86961,0.91204,0.741,0.75386,0.68082,0.91524,0.00044689,0.00044689,0.00044689
52,171.602,0.80247,0.742,0.9276,0.89123,0.86736,0.90848,0.73798,0.74867,0.69155,0.91519,0.000442488,0.000442488,0.000442488
53,174.836,0.78183,0.71496,0.91587,0.90147,0.86161,0.91208,0.74068,0.74595,0.70143,0.91722,0.000438086,0.000438086,0.000438086
54,178.088,0.79116,0.73254,0.91925,0.88418,0.8697,0.91153,0.73974,0.75496,0.68732,0.92062,0.000433683,0.000433683,0.000433683
55,181.32,0.79992,0.74242,0.9302,0.87921,0.87571,0.91243,0.74165,0.75451,0.67571,0.92004,0.000429281,0.000429281,0.000429281
56,184.693,0.76511,0.7111,0.90694,0.89823,0.85756,0.90982,0.74002,0.75295,0.69407,0.91986,0.000424879,0.000424879,0.000424879
57,188.002,0.817,0.74302,0.91362,0.88357,0.87492,0.9087,0.74206,0.74813,0.66012,0.92122,0.000420477,0.000420477,0.000420477
58,191.32,0.79976,0.71985,0.92083,0.9122,0.8468,0.91,0.7401,0.75496,0.67242,0.92134,0.000416075,0.000416075,0.000416075
59,194.599,0.78525,0.71172,0.91254,0.91805,0.83763,0.90827,0.74214,0.74718,0.67273,0.92136,0.000411672,0.000411672,0.000411672
60,197.93,0.77915,0.73198,0.92198,0.89057,0.85692,0.90534,0.73482,0.75166,0.66954,0.92213,0.00040727,0.00040727,0.00040727
61,201.167,0.76753,0.69332,0.90756,0.89832,0.86121,0.90018,0.736,0.75536,0.66113,0.9227,0.000402868,0.000402868,0.000402868
62,204.439,0.77146,0.69439,0.91478,0.88024,0.86914,0.89816,0.7415,0.74569,0.66133,0.9154,0.000398466,0.000398466,0.000398466
