epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,57.4642,1.12368,1.31983,1.01655,0.9251,0.14037,0.70468,0.5046,1.04703,3.00117,1.02894,0.00041501,0.00041501,0.00041501
17,60.3868,1.11114,1.25112,1.01092,0.86678,0.13461,0.70673,0.51028,1.0296,2.9607,1.03019,0.000440991,0.000440991,0.000440991
18,63.3545,1.06889,1.1903,1.00624,0.83385,0.17094,0.68262,0.49302,1.04464,2.97555,1.04028,0.000466928,0.000466928,0.000466928
19,66.2275,1.04071,1.20348,0.99165,0.80964,0.30133,0.68518,0.49628,1.02248,2.95676,1.03258,0.000492821,0.000492821,0.000492821
20,69.1637,1.09102,1.20055,0.99299,0.89685,0.16637,0.71948,0.52178,1.02842,2.85536,1.0337,0.00051867,0.00051867,0.00051867
21,72.1257,1.04787,1.11875,1.00088,0.88804,0.26145,0.75265,0.54578,1.03333,2.61216,1.03409,0.000544475,0.000544475,0.000544475
22,75.0717,1.02978,1.10252,0.99502,0.87027,0.33264,0.75523,0.54266,1.0447,2.52251,1.03959,0.000570236,0.000570236,0.000570236
23,77.975,1.06199,1.08792,0.99197,0.88063,0.41762,0.7812,0.5805,1.00105,2.3125,1.01584,0.000595953,0.000595953,0.000595953
24,80.9373,0.9939,1.01403,0.9809,0.85182,0.49457,0.78902,0.57725,1.02658,2.18597,1.03319,0.000621626,0.000621626,0.000621626
25,83.8731,0.99254,0.98676,0.97898,0.8398,0.60799,0.81608,0.60998,0.9996,1.95836,1.0252,0.000647255,0.000647255,0.000647255
26,86.8572,1.00231,0.99519,0.98962,0.85097,0.67847,0.83212,0.62397,0.98822,1.82612,1.02171,0.000653243,0.000653243,0.000653243
27,89.8395,0.97059,0.9356,0.97248,0.86363,0.71363,0.84652,0.6434,0.95691,1.72001,1.00775,0.000652693,0.000652693,0.000652693
28,92.8314,0.95003,0.97345,0.98455,0.86755,0.70641,0.85739,0.63604,0.99042,1.76467,1.01993,0.000652143,0.000652143,0.000652143
29,95.7322,0.94601,0.93068,0.97597,0.87256,0.73324,0.87128,0.65967,0.96082,1.69589,1.00376,0.000651592,0.000651592,0.000651592
30,98.703,0.95975,0.94607,0.97455,0.85757,0.77662,0.87331,0.66518,0.94876,1.47111,0.99645,0.000651042,0.000651042,0.000651042
31,101.718,0.95243,0.91744,0.96482,0.85149,0.78281,0.86309,0.64246,1.01428,1.48106,1.01869,0.000650492,0.000650492,0.000650492
32,104.59,0.93744,0.8976,0.96618,0.84327,0.7998,0.88387,0.65817,0.95828,1.29824,0.99708,0.000649941,0.000649941,0.000649941
33,107.52,0.92579,0.89282,0.94703,0.83266,0.84454,0.88573,0.66134,0.94812,1.22225,0.99989,0.000649391,0.000649391,0.000649391
34,110.447,0.95411,0.88492,0.96325,0.85268,0.86023,0.8875,0.68827,0.90016,1.0142,0.98811,0.000648841,0.000648841,0.000648841
35,113.416,0.88734,0.85644,0.94401,0.84243,0.84854,0.89082,0.68876,0.89761,1.08635,0.98845,0.000648291,0.000648291,0.000648291
36,116.405,0.88515,0.8515,0.9603,0.84354,0.84451,0.89313,0.6897,0.89403,1.11058,0.98036,0.00064774,0.00064774,0.00064774
37,119.385,0.86467,0.85135,0.95083,0.85798,0.84741,0.8908,0.68924,0.89266,1.08144,0.97483,0.00064719,0.00064719,0.00064719
38,122.272,0.89133,0.83183,0.95287,0.86749,0.84543,0.88914,0.68981,0.87631,1.03373,0.96733,0.00064664,0.00064664,0.00064664
39,125.168,0.85426,0.81146,0.94066,0.8696,0.85367,0.89368,0.69265,0.8977,1.01409,0.96643,0.00064609,0.00064609,0.00064609
40,128.19,0.93395,0.84486,0.94391,0.86056,0.86568,0.88771,0.69534,0.86786,0.87618,0.97089,0.000645539,0.000645539,0.000645539
41,131.105,0.87276,0.81749,0.94553,0.86746,0.85511,0.89336,0.6908,0.89252,0.89753,0.97271,0.000644989,0.000644989,0.000644989
42,134.038,0.93567,0.83849,0.94595,0.88169,0.84659,0.88754,0.69591,0.8553,0.88917,0.97344,0.000644439,0.000644439,0.000644439
