epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,124.071,0.94912,0.85277,0.94741,0.86633,0.86809,0.90164,0.69864,0.85571,0.86172,0.96835,0.00048651,0.00048651,0.00048651
43,127.073,0.89141,0.81846,0.95445,0.87156,0.86842,0.89559,0.69961,0.84582,0.89643,0.96737,0.000482108,0.000482108,0.000482108
44,130.08,0.86206,0.8137,0.94956,0.87672,0.87387,0.89513,0.68214,0.91027,0.92903,0.98422,0.000477705,0.000477705,0.000477705
45,133.027,0.86773,0.80337,0.94287,0.88093,0.86879,0.89181,0.70718,0.83875,0.87614,0.96268,0.000473303,0.000473303,0.000473303
46,136.024,0.82729,0.78713,0.93316,0.88769,0.85537,0.8863,0.69975,0.86668,0.98594,0.96263,0.000468901,0.000468901,0.000468901
47,138.898,0.86337,0.8154,0.94132,0.87623,0.83899,0.88773,0.71297,0.83101,1.06014,0.95538,0.000464499,0.000464499,0.000464499
48,141.851,0.79418,0.77088,0.91864,0.86997,0.84805,0.87335,0.69374,0.839,0.87315,0.95646,0.000460097,0.000460097,0.000460097
49,144.721,0.81594,0.79402,0.92911,0.85744,0.86366,0.88711,0.70109,0.84242,0.80615,0.95365,0.000455694,0.000455694,0.000455694
50,147.617,0.84631,0.79196,0.93284,0.87101,0.86132,0.88982,0.70621,0.82585,0.75954,0.95528,0.000451292,0.000451292,0.000451292
51,150.563,0.83922,0.78174,0.93535,0.87213,0.87364,0.89074,0.70531,0.81994,0.75235,0.95449,0.00044689,0.00044689,0.00044689
52,153.487,0.84833,0.78475,0.93488,0.87496,0.89241,0.90196,0.70391,0.83129,0.78596,0.95149,0.000442488,0.000442488,0.000442488
53,156.406,0.83463,0.76946,0.9246,0.87471,0.88016,0.89232,0.70535,0.81369,0.80165,0.95118,0.000438086,0.000438086,0.000438086
54,159.316,0.8393,0.77889,0.9286,0.88648,0.86555,0.88747,0.71247,0.80801,0.78346,0.94782,0.000433683,0.000433683,0.000433683
55,162.189,0.79275,0.75605,0.92842,0.89144,0.8733,0.89716,0.71524,0.79494,0.78847,0.94056,0.000429281,0.000429281,0.000429281
56,165.204,0.80038,0.73948,0.91307,0.88996,0.85313,0.8943,0.72588,0.78721,0.75184,0.9388,0.000424879,0.000424879,0.000424879
57,168.24,0.79609,0.73375,0.92056,0.89536,0.8664,0.89078,0.71999,0.79448,0.73558,0.94274,0.000420477,0.000420477,0.000420477
