epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.09907,1.59801,4.61942,1.37138,0.00124,0.02764,0.00217,0.00063,1.28455,4.51187,1.24552,2.001e-05,2.001e-05,2.001e-05
2,5.96985,1.55017,4.57894,1.36637,0.00206,0.05208,0.0061,0.00226,1.21343,4.46456,1.19621,3.12823e-05,3.12823e-05,3.12823e-05
3,8.99616,1.45575,4.47387,1.28627,0.00341,0.0734,0.0087,0.00504,1.1587,4.41255,1.14434,2.49458e-05,2.49458e-05,2.49458e-05
